Date,Writing,Notes (Writing),Didn’t spend frivolously (3 month goal),Notes (Didn’t spend frivolously (3 month goal)),Didn’t order out,Notes (Didn’t order out),Meditating,Notes (Meditating),Exercising / 10K Steps,Notes (Exercising / 10K Steps),Time Outdoors (3x week),Notes (Time Outdoors (3x week)),Community,Notes (Community),Read,Notes (Read),Take Vitamins,Notes (Take Vitamins),Journaling,Notes (Journaling)
2021-04-26,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
10 push-ups",-,-,-,-,-,-,Green,-,-,-
2021-04-27,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
9 push-ups
1 set sun salutations",-,-,-,-,-,-,Green,-,-,-
2021-04-28,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
10 push-ups
2 set sun salutations",-,-,-,-,-,-,Green,-,-,-
2021-04-29,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
2 sets sun salutations",-,-,-,-,-,-,Green,-,-,-
2021-04-30,-,-,-,-,-,-,Green,Started 10m,Green,Quick mobility stretch routine,-,-,-,-,-,-,Green,-,-,-
2021-05-01,-,-,-,-,-,-,Green,5 minutes in the AM,Blue,Left early for chalet. Spent most of the day cooking.,-,-,-,-,-,-,Green,-,-,-
2021-05-02,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
2 sets sun salutations
10 incline push-ups",-,-,-,-,-,-,Green,-,-,-
2021-05-03,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
1 sets sun salutations
5 floor push-ups",-,-,-,-,-,-,Green,-,-,-
2021-05-04,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
1 sets sun salutations
10 incline push-ups",-,-,-,-,-,-,Green,-,-,-
2021-05-05,-,-,-,-,-,-,Green,-,Blue,Spent time reflecting this morning on my next steps,-,-,-,-,-,-,Green,-,-,-
2021-05-06,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
1 sets sun salutations",-,-,-,-,-,-,Green,-,-,-
2021-05-07,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-05-08,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
1 sets sun salutations
5 floor push-ups",-,-,-,-,-,-,Green,-,-,-
2021-05-09,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
1 sets sun salutations
5 push-ups
20s ab hold
15s back arc hold",-,-,-,-,-,-,Green,-,-,-
2021-05-10,-,-,-,-,-,-,Green,-,Blue,Rest day. Bad sleep.,-,-,-,-,-,-,Green,-,-,-
2021-05-11,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
1 sets sun salutations
5 floor push-ups
20s arc hold
20s hollow body hold",-,-,-,-,-,-,Green,-,-,-
2021-05-12,-,-,-,-,-,-,Green,-,Green,Quick mobility stretch routine,-,-,-,-,-,-,Green,-,-,-
2021-05-13,-,-,-,-,-,-,Green,-,Green,Probably 10k steps. Forgot my watch today.,-,-,-,-,-,-,Green,-,-,-
2021-05-14,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
5 floor push-ups",-,-,-,-,-,-,Green,-,-,-
2021-05-15,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-05-16,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-05-17,-,-,-,-,-,-,Green,-,Green,Quick mobility stretch routine,-,-,-,-,-,-,Green,-,-,-
2021-05-18,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-05-19,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-05-20,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-05-21,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-05-22,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-05-23,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-05-24,-,-,-,-,-,-,Green,-,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-05-25,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-05-26,-,-,-,-,-,-,Green,-,Green,"Quick mobility stretch routine
5 floor push-ups",-,-,-,-,-,-,Green,-,-,-
2021-05-27,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-05-28,-,-,-,-,-,-,Green,Started 15m,Green,"Quick mobility stretch routine
5 floor push-ups
Bar hangs",-,-,-,-,-,-,Green,-,-,-
2021-05-29,-,-,-,-,-,-,Green,Started feeling panicked at the end of the session. Lots of stress dreams last night,Green,Built a gazebo,-,-,-,-,-,-,Green,-,-,-
2021-05-30,-,-,-,-,-,-,Green,Wonderful outdoor meditation on the dock at the chalet,Blue,-,-,-,-,-,-,-,Green,-,-,-
2021-05-31,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-06-01,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-06-02,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-06-03,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-06-04,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-06-05,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-06-06,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
2021-06-07,-,-,-,-,-,-,Green,-,Green,-,-,-,-,-,-,-,Green,-,-,-
